"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1531","Given User is on Login screen","","Tue Aug 13 09:39:20 GMT-04:00 2024","passed","Tue Aug 13 09:39:22 GMT-04:00 2024","","Login: Verify Reset Password","",""
"","4874","And User should be able to go back to login screen","","Tue Aug 13 09:39:22 GMT-04:00 2024","passed","Tue Aug 13 09:39:27 GMT-04:00 2024","","Login: Verify Reset Password","",""
"","2027","And after dismissing the message User still being on login screen","","Tue Aug 13 09:40:04 GMT-04:00 2024","passed","Tue Aug 13 09:40:06 GMT-04:00 2024","","Login: Login with invalid user and valid password","",""
"","655","When User types an invalid username on username textfield","","Tue Aug 13 09:40:21 GMT-04:00 2024","passed","Tue Aug 13 09:40:22 GMT-04:00 2024","","Login: Login invalid credentials","",""
"","1046","Then User should see a message asking for typing the password","","Tue Aug 13 09:39:51 GMT-04:00 2024","passed","Tue Aug 13 09:39:52 GMT-04:00 2024","","Login: Login only with valid username","",""
"","1351","Given User is on Login screen","","Tue Aug 13 09:40:20 GMT-04:00 2024","passed","Tue Aug 13 09:40:21 GMT-04:00 2024","","Login: Login invalid credentials","",""
"","2184","Given User is on Login screen","","Tue Aug 13 09:39:40 GMT-04:00 2024","passed","Tue Aug 13 09:39:42 GMT-04:00 2024","","Login: Login only with valid password","",""
"","1","hook:","","Tue Aug 13 09:40:19 GMT-04:00 2024","failed","Tue Aug 13 09:40:20 GMT-04:00 2024","","","",""
"","1128","Then User should see a message asking for typing the username","","Tue Aug 13 09:39:44 GMT-04:00 2024","passed","Tue Aug 13 09:39:45 GMT-04:00 2024","","Login: Login only with valid password","",""
"","1180","When User types an invalid username on username textfield","","Tue Aug 13 09:39:56 GMT-04:00 2024","passed","Tue Aug 13 09:39:57 GMT-04:00 2024","","Login: Login with invalid user and valid password","",""
"","1","hook:","","Tue Aug 13 09:39:34 GMT-04:00 2024","failed","Tue Aug 13 09:39:34 GMT-04:00 2024","","","",""
"","3765","Then User should see a message saying incorrect credentials","","Tue Aug 13 09:40:00 GMT-04:00 2024","passed","Tue Aug 13 09:40:04 GMT-04:00 2024","","Login: Login with invalid user and valid password","",""
